layer,auprc,auroc,pos_rate
CNN,0.5063752075175824,0.9222290735316787,0.049523809523809526
Layer 1,0.49004774717949556,0.9574533682750115,0.049523809523809526
Layer 2,0.576835676027165,0.9712501926930784,0.049523809523809526
Layer 3,0.5847410589583213,0.9713272699244643,0.049523809523809526
Layer 4,0.636040780894262,0.9734854324032681,0.049523809523809526
