class,region,imp
pos,inside,0.06406211
pos,inside,0.023244666
pos,inside,0.020410571
pos,inside,0.017028993
pos,inside,0.028299842
pos,inside,0.009724146
pos,inside,0.05789171
pos,inside,0.059479665
pos,inside,0.08914199
pos,inside,0.015718408
pos,inside,0.007807117
pos,inside,0.01074827
pos,inside,0.045863464
pos,inside,0.0095738135
pos,inside,0.04327871
pos,inside,0.03813061
pos,inside,0.09569815
pos,inside,0.019790005
pos,inside,0.019482478
pos,inside,0.0071684206
pos,inside,0.020747242
pos,inside,0.026030138
pos,inside,0.013316051
pos,inside,0.009729321
pos,inside,0.07557505
pos,inside,0.013376477
pos,inside,0.010151479
pos,inside,0.18178318
pos,inside,0.008333518
pos,inside,0.014164039
pos,inside,0.028591549
pos,inside,0.034280177
pos,inside,0.075054705
pos,inside,0.0056300894
pos,inside,0.026323512
pos,inside,0.042534776
pos,inside,0.040497124
pos,inside,0.048214898
pos,inside,0.037193384
pos,inside,0.034479097
pos,inside,0.028069995
pos,inside,0.027309308
pos,inside,0.08617043
pos,inside,0.024457557
pos,inside,0.019916797
pos,inside,0.025688604
pos,inside,0.012663713
pos,inside,0.07386994
pos,inside,0.021731716
pos,inside,0.048157252
pos,inside,0.0312483
pos,inside,0.05951819
pos,inside,0.016914565
pos,inside,0.012996711
pos,inside,0.019120071
pos,inside,0.02900016
pos,inside,0.01283362
pos,inside,0.0045051575
pos,inside,0.014266966
pos,inside,0.023146499
pos,inside,0.027111158
pos,inside,0.016277757
pos,inside,0.01143105
pos,inside,0.021224923
pos,inside,0.01409772
pos,inside,0.0085267145
pos,inside,0.009221021
pos,inside,0.03911394
pos,inside,0.023066241
pos,inside,0.031979326
pos,inside,0.01330562
pos,inside,0.03792373
pos,inside,0.011612211
pos,inside,0.02569257
pos,inside,0.032345563
pos,inside,0.032620665
pos,inside,0.012797214
pos,inside,0.086892374
pos,inside,0.034840945
pos,inside,0.051826004
pos,inside,0.04263246
pos,inside,0.14185548
pos,inside,0.019795433
pos,inside,0.1398564
pos,inside,0.026901843
pos,inside,0.013127735
pos,inside,0.015445262
pos,inside,0.06806341
pos,inside,0.013777375
pos,inside,0.19015393
pos,inside,0.05702892
pos,inside,0.010324095
pos,inside,0.030028904
pos,inside,0.03602107
pos,inside,0.038857196
pos,inside,0.012667317
pos,inside,0.012806114
pos,inside,0.009530576
pos,inside,0.02989327
pos,inside,0.02359224
pos,inside,0.015788862
pos,inside,0.032796238
pos,inside,0.029151943
pos,inside,0.02589903
pos,inside,0.050692912
pos,inside,0.04396896
pos,inside,0.02255037
pos,inside,0.08567227
pos,inside,0.010495357
pos,inside,0.0662904
pos,inside,0.024771856
pos,inside,0.010964861
pos,inside,0.017104391
pos,inside,0.01632606
pos,inside,0.024246953
pos,inside,0.054230124
pos,inside,0.011973397
pos,inside,0.011949444
pos,inside,0.035132654
pos,inside,0.07189506
pos,inside,0.03516831
pos,inside,0.14607656
pos,inside,0.030981313
pos,inside,0.08972119
pos,inside,0.045489572
pos,inside,0.02749269
pos,inside,0.02025407
pos,inside,0.04526901
pos,inside,0.0070925145
pos,inside,0.044711806
pos,inside,0.011290474
pos,inside,0.038914185
pos,inside,0.0116492985
pos,inside,0.010303736
pos,inside,0.024755137
pos,inside,0.006976656
pos,inside,0.062113404
pos,inside,0.048840445
pos,inside,0.017931847
pos,inside,0.034891255
pos,inside,0.037263315
pos,inside,0.011173397
pos,inside,0.03127961
pos,inside,0.06164664
pos,inside,0.033536423
pos,inside,0.06859886
pos,inside,0.07827934
pos,inside,0.059865985
pos,inside,0.033636317
pos,inside,0.019737603
pos,inside,0.066183925
pos,inside,0.025096908
pos,inside,0.055708792
pos,inside,0.085497685
pos,inside,0.014916166
pos,inside,0.03100841
pos,inside,0.006058228
pos,inside,0.05092034
pos,inside,0.04284955
pos,inside,0.0857545
pos,inside,0.039514173
pos,inside,0.072278105
pos,inside,0.040967625
pos,inside,0.018567037
pos,inside,0.0152183715
pos,inside,0.033312876
pos,inside,0.06883645
pos,inside,0.030245269
pos,inside,0.06432294
pos,inside,0.031428054
pos,inside,0.036599208
pos,inside,0.01120468
pos,inside,0.0073171505
pos,inside,0.038846534
pos,inside,0.0078025055
pos,inside,0.033966918
pos,inside,0.016607365
pos,inside,0.07294727
pos,inside,0.109211564
pos,inside,0.08253565
pos,inside,0.067239724
pos,inside,0.06405166
pos,inside,0.096929856
pos,inside,0.08330453
pos,inside,0.005939477
pos,inside,0.013290627
pos,inside,0.034896374
pos,inside,0.019744277
pos,inside,0.03318413
pos,inside,0.010143274
pos,inside,0.07017726
pos,inside,0.01314152
pos,inside,0.05791532
pos,inside,0.006187764
pos,inside,0.016539657
pos,inside,0.008438044
pos,inside,0.023096725
pos,inside,0.046519335
pos,inside,0.022526786
pos,inside,0.036596056
pos,inside,0.0078030736
pos,inside,0.0912888
pos,inside,0.010181028
pos,inside,0.06872448
pos,inside,0.017452369
pos,inside,0.049006503
pos,inside,0.069577396
pos,inside,0.008510224
pos,inside,0.008818959
pos,inside,0.008910352
pos,inside,0.018988194
pos,inside,0.038223706
pos,inside,0.032847453
pos,inside,0.035688203
pos,inside,0.01765036
pos,inside,0.012549173
pos,inside,0.05417788
pos,inside,0.020624997
pos,inside,0.029488182
pos,inside,0.014560294
pos,inside,0.01868336
pos,inside,0.0721016
pos,inside,0.048169922
pos,inside,0.04250659
pos,inside,0.02038575
pos,inside,0.0492689
pos,inside,0.029095953
pos,inside,0.010768546
pos,inside,0.022081008
pos,inside,0.03135234
pos,inside,0.0051538325
pos,inside,0.025597217
pos,inside,0.048117023
pos,inside,0.016946234
pos,inside,0.022935739
pos,inside,0.013002274
pos,inside,0.020243326
pos,inside,0.031788018
pos,inside,0.043063268
pos,inside,0.0683139
pos,inside,0.035917573
pos,inside,0.124307394
pos,inside,0.019211864
pos,inside,0.035757337
pos,inside,0.02741223
pos,inside,0.03101957
pos,inside,0.045912534
pos,inside,0.03508291
pos,inside,0.014722099
pos,inside,0.08005712
pos,inside,0.035448994
pos,inside,0.02157517
pos,inside,0.02059271
pos,inside,0.047807623
pos,inside,0.010568221
pos,inside,0.03643265
pos,inside,0.025775427
pos,inside,0.028954182
pos,inside,0.02800028
pos,inside,0.042553104
pos,inside,0.01707158
pos,inside,0.051928364
pos,inside,0.016843751
pos,inside,0.017487291
pos,inside,0.0342025
pos,inside,0.030796332
pos,inside,0.029231803
pos,inside,0.05517958
pos,inside,0.0137492055
pos,inside,0.010746021
pos,inside,0.04289598
pos,inside,0.018728768
pos,inside,0.028398415
pos,inside,0.049058743
pos,inside,0.020476561
pos,inside,0.011792745
pos,inside,0.036748555
pos,inside,0.06513998
pos,inside,0.009143365
pos,inside,0.013835502
pos,inside,0.023343632
pos,inside,0.027356066
pos,inside,0.021510348
pos,inside,0.02950393
pos,inside,0.006349391
pos,inside,0.022885391
pos,inside,0.024183378
pos,inside,0.046454154
pos,inside,0.04391518
pos,inside,0.021790829
pos,inside,0.013181706
pos,inside,0.025886102
pos,inside,0.017763175
pos,inside,0.0072702756
pos,inside,0.016136464
pos,inside,0.029066704
pos,inside,0.011896111
pos,inside,0.06530567
pos,inside,0.0607805
pos,inside,0.013036137
pos,inside,0.032202657
pos,inside,0.0833121
pos,inside,0.022815606
pos,inside,0.07652138
pos,inside,0.042397033
pos,inside,0.017994253
pos,inside,0.024247898
pos,inside,0.022336194
pos,inside,0.057336997
pos,inside,0.014545709
pos,inside,0.037635148
pos,inside,0.024091441
pos,inside,0.119199604
pos,inside,0.0203438
pos,inside,0.008720622
pos,inside,0.06363514
pos,inside,0.056465782
pos,inside,0.030318739
pos,inside,0.014532724
pos,inside,0.03723335
pos,inside,0.055527326
pos,inside,0.11640839
pos,inside,0.02482031
pos,inside,0.022506539
pos,inside,0.020410065
pos,inside,0.103727944
pos,inside,0.03159155
pos,inside,0.07729175
pos,inside,0.06344787
pos,inside,0.024017228
pos,inside,0.008334948
pos,inside,0.01844573
pos,inside,0.07931687
pos,inside,0.013406767
pos,inside,0.045859776
pos,inside,0.048973985
pos,inside,0.074157394
pos,inside,0.00958556
pos,inside,0.0043941587
pos,inside,0.04691221
pos,inside,0.06531308
pos,inside,0.015540425
pos,inside,0.019080734
pos,inside,0.00936927
pos,inside,0.020294635
pos,inside,0.014501987
pos,inside,0.026152248
pos,inside,0.054610062
pos,inside,0.017666237
pos,inside,0.007908741
pos,inside,0.07677144
pos,inside,0.07703581
pos,inside,0.009022143
pos,inside,0.133815
pos,inside,0.017424626
pos,inside,0.018550735
pos,inside,0.03363883
pos,inside,0.020450072
pos,inside,0.008892701
pos,inside,0.01837167
pos,inside,0.033157177
pos,inside,0.008778387
pos,inside,0.027750334
pos,inside,0.03918398
pos,inside,0.023275778
pos,inside,0.08375526
pos,inside,0.022852257
pos,inside,0.018047519
pos,inside,0.089367814
pos,inside,0.020934809
pos,inside,0.035356887
pos,inside,0.019617278
pos,inside,0.033485245
pos,inside,0.011887859
pos,inside,0.026249057
pos,inside,0.014271916
pos,inside,0.039110493
pos,inside,0.10469201
pos,inside,0.03419153
pos,inside,0.0552473
pos,inside,0.09185903
pos,inside,0.041500352
pos,inside,0.02427733
pos,inside,0.01888376
pos,inside,0.12720783
pos,inside,0.0117877675
pos,inside,0.014441937
pos,inside,0.019870093
pos,inside,0.03925088
pos,inside,0.033880502
pos,inside,0.008431485
pos,inside,0.037175152
pos,inside,0.04782249
pos,inside,0.012338551
pos,inside,0.013827969
pos,inside,0.0094043715
pos,inside,0.009451003
pos,inside,0.06571779
pos,inside,0.040859267
pos,inside,0.042560305
pos,inside,0.035124443
pos,inside,0.009466062
pos,inside,0.07173303
pos,inside,0.031911667
pos,inside,0.034819823
pos,inside,0.011228306
pos,inside,0.015080893
pos,inside,0.023855953
pos,inside,0.04919914
pos,inside,0.029593566
pos,inside,0.07087008
pos,inside,0.08832666
pos,inside,0.1528526
pos,inside,0.019240325
pos,inside,0.19953324
pos,inside,0.019582111
pos,inside,0.04506814
pos,inside,0.009436127
pos,inside,0.017933376
pos,inside,0.02333745
pos,inside,0.020868775
pos,inside,0.01314906
pos,inside,0.01070376
pos,inside,0.020479323
pos,inside,0.028544517
pos,inside,0.029227894
pos,inside,0.048342086
pos,inside,0.03801399
pos,inside,0.021993326
pos,inside,0.014770991
pos,inside,0.013418842
